precmz_massql	delta_mass_r2_massql	mass_defect_massql
144.07001	-18.04	-0.0002776427932503034
144.10001	-18.01	-6.939624778653078e-05
145.04897	-17.06	-0.00041365340270943475
146.11774	-15.99	6.843795968921903e-05
153.10712	-9.01	-6.531374896216314e-05
160.13243	-1.98	0.0001248966246250058
162.05066	-0.06	-0.0003702545858190272
162.0761	-0.04	-0.0002467976462908473
162.08	-0.03	-0.00018509378084896345
162.11	0.0	0.0
163.06026	0.95	-0.00030663510532854567
168.61211	6.5	0.0029653860567903454
169.09181	6.98	-0.00011827893970736709
173.08076	10.97	-0.0001733294908111067
174.11246	12.0	0.0
174.61194	12.5	0.002863492611100936
176.08295	13.97	-0.0001703742469103304
176.12799	14.02	0.00011355378551699576
176.62	14.51	-0.0027743177443098187
182.62787	20.52	-0.002628295451291199
186.07574	23.96	-0.00021496622826811893
190.10742	27.99	-5.2601839528418e-05
190.10855	28.0	0.0
190.13	28.02	0.00010519118497869655
191.03876	28.93	-0.0003664177887251796
192.05513	29.94	-0.0003124102959394978
195.63547	33.52	-0.0024535428059134514
196.64302	34.53	-0.0023901178897679605
200.09238	37.98	-9.995383132532647e-05
201.07358	38.96	-0.00019893215210073421
201.12337	39.01	4.972072613937411e-05
201.9341	39.82	-0.0008913799105747851
201.9906	39.88	-0.0005940870515756548
202.04715	39.93	-0.00034645378566339733
202.07077	39.96	-0.00019795045072574892
202.10597	39.99	-4.94789936190307e-05
202.10855	40.0	0.0
202.11833	40.01	4.9475967864953225e-05
202.14349	40.03	0.00014840942936129745
202.16168	40.05	0.0002473267930895566
202.18031	40.07	0.00034622560426383897
202.99261	40.88	-0.0005911545252804889
203.0069	40.89	-0.0005418535035016023
203.03387	40.92	-0.00039402292829269467
203.04237	40.93	-0.00034475562908372416
203.04904	40.94	-0.0002954951178296744
203.05904	40.95	-0.0002462338047101826
203.07764	40.97	-0.00014772675120708088
203.09	40.98	-9.847850706584827e-05
203.10283	40.99	-4.923614309066008e-05
203.11397	41.0	0.0
203.11803	41.01	4.923245858576912e-05
203.12753	41.02	9.846031210049729e-05
203.1391	41.03	0.00014768205628557543
203.1506	41.04	0.00019689826168369252
203.2231	41.11	0.0005412770497054687
203.49431	41.38	0.0018673740803858473
203.50336	41.39	0.001916430274173363
203.56	41.45	0.0022106504224798725
203.60027	41.49	0.002406676572678425
203.74345	41.63	-0.0018160092999308563
203.82283	41.71	-0.0014228043050918248
203.93178	41.82	-0.0008826481090882437
203.9557	41.84	-0.0007844840815922114
203.96001	41.85	-0.0007354382851814852
203.97131	41.86	-0.0006863710391427137
204.00041	41.89	-0.0005392146025588843
204.00801	41.9	-0.0004901768317822492
204.01898	41.91	-0.0004411354276940479
204.02843	41.92	-0.0003921022183035879
204.03999	41.93	-0.00034307000309106214
204.05	41.94	-0.0002940455770644561
204.06	41.95	-0.0002450259727530979
204.07002	41.96	-0.0001960111534266481
204.09	41.98	-9.799598216474656e-05
204.0867	41.97	-0.00014699635008063306
204.09996	41.99	-4.8995599999127924e-05
204.11	42.0	0.0
204.11763	42.01	4.899135856122771e-05
204.12828	42.02	9.797760506287089e-05
204.13797	42.03	0.00014695943140808707
204.15324	42.04	0.00019593125242586964
204.15881	42.05	0.00024490738361963003
204.17168	42.06	0.0002938703350043565
204.17999	42.07	0.0003428347704395533
204.2	42.09	0.0004407443682664222
204.21761	42.11	0.0005386411093538869
204.21381	42.1	0.0004896828475997849
204.49976	42.39	0.001907092702700485
204.87991	42.77	-0.0011226088492522126
204.88892	42.78	-0.0010737525484540542
204.92792	42.82	-0.0008783576195961961
204.93939	42.83	-0.0008295135454438588
204.95615	42.84	-0.0007806547888414014
204.95996	42.85	-0.0007318502599239314
204.9931	42.88	-0.0005853855568797069
205.00121	42.89	-0.0005365821987099464
205.01582	42.9	-0.0004877672366942289
205.02341	42.91	-0.0004389742615245908
205.02859	42.92	-0.0003901894852810444
205.03914	42.93	-0.0003413982325520888
205.05693	42.94	-0.00029260166920475343
205.07001	42.96	-0.00019505533744304762
205.06	42.95	-0.00024383107383203528
205.08078	42.97	-0.00014628382045358485
205.09	42.98	-9.751816275782889e-05
205.10063	42.99	-4.875655428263682e-05
205.10751	43.0	0.0
205.11975	43.01	4.8752009496881746e-05
205.13	43.02	9.749914688248002e-05
205.1537	43.04	0.00019497576694936113
205.19099	43.08	0.00038988066678755383
206.03	43.92	-0.00038829296704362615
206.03999	43.93	-0.0003397398728276015
206.05377	43.94	-0.00029118613068813195
206.10179	43.99	-4.851971445758919e-05
206.12733	44.01	4.8513702671052936e-05
206.13066	44.02	9.702583788361773e-05
206.15111	44.04	0.00019403242601991882
206.31476	44.2	0.0009693925921732542
206.3031	44.19	0.0009209750120090184
206.96796	44.86	-0.0006764332025111547
207.01396	44.9	-0.00048305921011317993
207.0838	44.97	-0.0001448688888266544
207.09181	44.98	-9.657552367717065e-05
207.13033	45.02	9.655756353984049e-05
207.14153	45.03	0.00014482851410820967
207.19542	45.08	0.0003861089207473712
207.97427	45.86	-0.000673160194287498
207.98344	45.87	-0.0006250497635773433
208.01317	45.9	-0.000480738791683245
208.13992	46.03	0.0001441338115244838
208.1803	46.07	0.00033624699359161405
208.95946	46.85	-0.0007178425901368551
209.09119	46.98	-9.565204540661481e-05
209.14534	47.03	0.000143440920079793
210.19612	48.08	0.0003805969396580598
214.16174	52.05	0.00023346840570121047
215.11	53.0	0.0
215.13875	53.03	0.00013944489312130493
216.05414	53.94	-0.000277708170739067
216.06299	53.95	-0.0002314139964461158
216.11	54.0	0.0
216.1226	54.01	4.6270033767861434e-05
216.17809	54.07	0.0003238070981198894
216.92282	54.81	-0.0008758875622214285
217.0686	54.96	-0.000184273543018194
217.08173	54.97	-0.0001381967980446864
217.09781	54.99	-4.606218736153078e-05
217.09738	54.98	-9.212455719181469e-05
217.10751	55.0	0.0
217.11809	55.01	4.605788490492898e-05
217.12924	55.02	9.211103948967503e-05
217.15271	55.04	0.00018420216814240607
218.03	55.92	-0.0003669219832133114
218.03903	55.93	-0.0003210434388742249
218.04845	55.94	-0.0002751682022963349
218.0789	55.97	-0.0001375648905052306
218.10001	55.99	-4.585052517878385e-05
218.10773	56.0	0.0
218.11841	56.01	4.584665732708216e-05
218.12944	56.02	9.168867806199442e-05
218.13826	56.03	0.00013752745621057553
218.14954	56.04	0.00018336045998538044
218.1609	56.05	0.00022918864012752587
218.17999	56.07	0.0003208360216718329
218.19	56.08	0.0003666529171822645
218.97447	56.86	-0.0006393439381312377
218.98	56.87	-0.0005936615216001578
219.00523	56.89	-0.000502271110146545
219.03	56.92	-0.00036524676984887134
219.02647	56.91	-0.0004109092385043845
219.04691	56.93	-0.0003195662518133686
219.04807	56.94	-0.0002739124795758405
219.08263	56.97	-0.00013693463511918374
219.0976	56.99	-4.564175965413592e-05
219.09734	56.98	-9.128362763328448e-05
219.11313	57.0	0.0
219.13382	57.02	9.126843131746221e-05
219.14244	57.03	0.00013689726189049066
219.1701	57.06	0.0002737599699959177
220.1181	58.01	4.543015771986952e-05
220.14	58.03	0.00013627691469065659
221.092	58.98	-9.046007996672482e-05
221.14888	59.04	0.0001808736268526395
222.07945	59.97	-0.0001350867898853367
223.16066	61.05	0.0002240538274084561
224.12833	62.02	8.92345916288366e-05
225.09	62.98	-8.885334754988283e-05
225.11978	63.01	4.4420796786484114e-05
225.14879	63.04	0.00017766029300001634
226.10429	63.99	-4.42273784367294e-05
226.12703	64.01	4.422293080135142e-05
226.12775	64.02	8.844557998740103e-05
227.13913	65.03	0.0001320776389343445
229.11816	67.01	4.3645601902551577e-05
229.15469	67.04	0.00017455457708505227
229.15778	67.05	0.0002181902792041237
230.08012	67.97	-0.00013038936175798735
230.09509	67.98	-8.692058574564116e-05
230.10001	67.99	-4.345936360456966e-05
230.11	68.0	0.0
230.12967	68.02	8.690752478807283e-05
230.13892	68.03	0.00013035604755597677
230.14992	68.04	0.00017379975626324897
230.15804	68.05	0.0002172420307367805
230.17023	68.06	0.0002606766305095245
230.18408	68.07	0.00030410443676206095
230.21121	68.1	0.00043438371224404894
230.65948	68.55	-0.0019509278352660938
230.98994	68.88	-0.000519503143730002
231.03789	68.93	-0.0003029806063412074
231.06845	68.96	-0.0001731088774776749
231.08188	68.97	-0.00012982411256131867
231.09804	68.99	-4.32716781155094e-05
231.11081	69.0	0.0
231.12404	69.01	4.326681032403689e-05
231.13191	69.02	8.653067419377974e-05
231.13745	69.03	0.00012979290028509503
231.15811	69.05	0.0002163021665127698
231.1682	69.06	0.0002595512704602202
231.18297	69.07	0.00030279046938445843
231.20689	69.09	0.0003892617559969922
231.62953	69.52	-0.002072274636139891
231.9709	69.86	-0.0006035239764987788
232.02	69.91	-0.00038789759503492547
232.03	69.92	-0.0003447830021979843
232.05791	69.95	-0.00021546345909948582
232.07001	69.96	-0.00017236177996461609
232.09148	69.98	-8.617291767882226e-05
232.10001	69.99	-4.3084875351815436e-05
232.10809	70.0	0.0
232.12	70.01	4.3081164914721334e-05
232.12833	70.02	8.615923786638201e-05
232.14059	70.03	0.00012923203133067396
232.14999	70.04	0.0001723023981177266
232.16	70.05	0.00021536871123361973
232.1716	70.06	0.0002584295409085447
232.18364	70.07	0.00030148549656639536
232.19025	70.08	0.00034454504441938584
232.25	70.14	0.0006027987082884847
232.92786	70.82	-0.0007727714494951648
233.04176	70.93	-0.0003003753490361263
233.05911	70.95	-0.00021453784835957348
233.07863	70.97	-0.00012871192867403217
233.07599	70.96	-0.00017161784875398901
233.09113	70.98	-8.58033508181801e-05
233.0999	70.99	-4.290006130420955e-05
233.1078	71.0	0.0
233.14435	71.03	0.00012867564665410564
233.14764	71.04	0.00017156510784328014
233.1577	71.05	0.0002144471317052671
233.28378	71.17	0.0007287261891932722
234.08002	71.97	-0.00012816130142162982
234.09776	71.99	-4.271719643966314e-05
234.09645	71.98	-8.543487096876531e-05
234.12317	72.01	4.271256023060475e-05
234.13329	72.02	8.542142811044094e-05
234.15939	72.05	0.00021352976705310496
234.65923	72.55	-0.0019176744081193943
234.95648	72.84	-0.0006809771750070336
235.08006	72.97	-0.00012761609810717735
235.16977	73.06	0.00025513483301872633
235.66644	73.55	-0.0019094784985083275
236.16786	74.06	0.0002540565850069619
236.64127	74.53	-0.0019861286241406617
237.18311	75.07	0.00029513062713442447
238.08	75.97	-0.0001260080645161338
239.10757	77.0	0.0
239.13562	77.02	8.363455013517443e-05
239.16377	77.05	0.0002090617655006741
240.14276	78.03	0.000124925690035382
240.69322	78.58	-0.0017449598289474117
241.15479	79.04	0.00016586856931187746
241.16713	79.05	0.000207325102720247
242.09898	79.99	-4.1305419791546066e-05
242.12311	80.01	4.1301303291557406e-05
242.98965	80.88	-0.0004938481947688083
243.0528	80.94	-0.0002468599415435752
243.08627	80.97	-0.00012341297597762775
243.13272	81.02	8.225959879030688e-05
243.16995	81.06	0.0002467410138464982
243.18263	81.07	0.00028784950635657317
243.62924	81.52	-0.001970206860227467
243.68459	81.57	-0.0017645760858329485
244.00999	81.9	-0.0004098192864972222
244.05942	81.95	-0.0002048681423564686
244.07967	81.97	-0.00012291068731779724
244.09315	81.98	-8.193593306488125e-05
244.10811	82.0	0.0
244.11755	82.01	4.096387170854826e-05
244.12811	82.02	8.192419955242361e-05
244.14	82.03	0.00012288031457360996
244.14999	82.04	0.00016383371549597955
244.16164	82.05	0.00020478237285757566
244.19	82.08	0.0003276137433965285
