formula_reported	exact_mass_reported	delta_mass_r2_reported	source_reported	mass_defect_reported
C6H17N	103.1361	-58.98	chebi	0.0001939185212549
C6H17N	103.1361	-58.97	chebi	0.0002908777818823
C7H16NO2	146.1181	-16.0	zhang	0.0
C7H16NO2	146.1181	-15.99	zhang	6.84377910744787e-05
C7H14NO3	160.09737	-2.02	hmdb, zhang	-0.0001249239759528
C7H14NO3	160.09737	-2.01	hmdb, zhang	-6.246198797644075e-05
C7H16NO3	162.11302	0.0	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0
C9H18NO4	204.12358	42.01	hmdb, lipidmaps, pubchem, stein, zhang, emily	4.8989930511693015e-05
C10H18NO4	216.12358	54.01	chebi, hmdb, lipidmaps, pubchem, zhang	4.626982395904237e-05
C10H20NO4	218.13923	56.02	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	9.168456311138132e-05
C10H20NO4	218.13923	56.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.000137526844667
C9H18NO5	220.1185	58.0	pubchem	0.0
C9H18NO5	220.1185	58.01	pubchem	4.543007516405032e-05
C11H20NO4	230.13923	68.02	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	8.690391464330537e-05
C11H20NO4	230.13923	68.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001303558719649
C11H22NO4	232.15488	70.04	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001722987688219
C11H22NO4	232.15488	70.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002153734610273
C10H20NO5	234.13415	72.02	chebi, hmdb, lipidmaps, pubchem, zhang	8.542111434831706e-05
C10H20NO5	234.13415	72.03	chebi, hmdb, lipidmaps, pubchem, zhang	0.0001281316715225
C12H20NO4	242.13923	80.02	pubchem, zhang	8.259710745754012e-05
C12H20NO4	242.13923	80.03	pubchem, zhang	0.0001238956611863
C12H22NO4	244.15488	82.04	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001638304341899
C12H22NO4	244.15488	82.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002047880427374
C11H20NO5	246.13415	84.02	pubchem	8.125650178975986e-05
C11H20NO5	246.13415	84.03	pubchem	0.0001218847526846
C12H24NO4	246.17053	84.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002031112335014
C12H24NO4	246.17053	84.06	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002437334802017
C11H23N2O4	247.16578	85.05	stein, zhang	0.0002022933757253
C11H23N2O4	247.16578	85.06	stein, zhang	0.0002427520508704
C10H18NO6	248.11341	86.0	hmdb, lipidmaps, pubchem, stein, zhang	0.0
C10H18NO6	248.11341	86.01	hmdb, lipidmaps, pubchem, stein, zhang	4.030414962256621e-05
C11H22NO5	248.1498	86.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0001208947176262
C11H22NO5	248.1498	86.04	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0001611929568349
C9H16NO7	250.09268	87.97	pubchem	-0.0001199555300858
C9H16NO7	250.09268	87.98	pubchem	-7.997035339057513e-05
