scan	delta_mass_r2	repository
1	-18.04	GNPS/MassIVE
2	-18.04	GNPS/MassIVE
3	-18.04	GNPS/MassIVE
4	-18.01	GNPS/MassIVE
5	-18.01	GNPS/MassIVE
6	-18.01	GNPS/MassIVE
7	-18.01	Metabolomics Workbench
8	-18.01	GNPS/MassIVE
9	-18.01	GNPS/MassIVE
10	-18.01	GNPS/MassIVE
11	-18.01	Metabolomics Workbench
12	-18.01	GNPS/MassIVE
13	-17.06	GNPS/MassIVE
14	-17.06	GNPS/MassIVE
15	-17.06	Metabolomics Workbench
16	-17.06	GNPS/MassIVE
17	-17.06	GNPS/MassIVE
18	-17.06	GNPS/MassIVE
19	-17.06	GNPS/MassIVE
20	-17.06	GNPS/MassIVE
21	-17.06	GNPS/MassIVE
22	-17.06	GNPS/MassIVE
23	-15.99	GNPS/MassIVE
24	-9.01	GNPS/MassIVE
25	-9.01	GNPS/MassIVE
26	-1.98	GNPS/MassIVE
27	-1.98	GNPS/MassIVE
28	-0.06	GNPS/MassIVE
29	-0.06	GNPS/MassIVE
30	-0.04	GNPS/MassIVE
31	-0.04	GNPS/MassIVE
32	-0.04	GNPS/MassIVE
33	-0.04	GNPS/MassIVE
34	-0.04	GNPS/MassIVE
35	-0.04	GNPS/MassIVE
36	-0.03	MetaboLights
37	-0.03	GNPS/MassIVE
38	-0.03	GNPS/MassIVE
39	0	GNPS/MassIVE
40	0	GNPS/MassIVE
41	0	GNPS/MassIVE
42	0	GNPS/MassIVE
43	0	GNPS/MassIVE
44	0	GNPS/MassIVE
45	0	GNPS/MassIVE
46	0.95	GNPS/MassIVE
47	0.95	GNPS/MassIVE
48	6.5	GNPS/MassIVE
49	6.98	GNPS/MassIVE
50	10.97	GNPS/MassIVE
51	10.97	GNPS/MassIVE
52	10.97	GNPS/MassIVE
53	12	GNPS/MassIVE
54	12	GNPS/MassIVE
55	12	MetaboLights
56	12.5	GNPS/MassIVE
57	13.97	GNPS/MassIVE
58	14.02	MetaboLights
59	14.02	MetaboLights
60	14.02	MetaboLights
61	14.02	MetaboLights
62	14.02	MetaboLights
63	14.02	MetaboLights
64	14.51	GNPS/MassIVE
65	20.52	GNPS/MassIVE
66	20.52	GNPS/MassIVE
67	23.96	GNPS/MassIVE
68	23.96	GNPS/MassIVE
69	27.99	GNPS/MassIVE
70	27.99	GNPS/MassIVE
71	27.99	MetaboLights
72	28	GNPS/MassIVE
73	27.99	GNPS/MassIVE
74	28	GNPS/MassIVE
75	27.99	GNPS/MassIVE
76	28	Metabolomics Workbench
77	28	GNPS/MassIVE
78	28	GNPS/MassIVE
79	28	GNPS/MassIVE
80	28.02	GNPS/MassIVE
81	28.02	GNPS/MassIVE
82	28.93	GNPS/MassIVE
83	28.93	GNPS/MassIVE
84	29.94	GNPS/MassIVE
85	29.94	GNPS/MassIVE
86	29.94	GNPS/MassIVE
87	33.52	GNPS/MassIVE
88	33.52	GNPS/MassIVE
89	33.52	GNPS/MassIVE
90	33.52	GNPS/MassIVE
91	33.52	GNPS/MassIVE
92	34.53	GNPS/MassIVE
93	37.98	GNPS/MassIVE
94	37.98	GNPS/MassIVE
95	38.96	GNPS/MassIVE
96	38.96	GNPS/MassIVE
97	39.01	GNPS/MassIVE
98	39.01	GNPS/MassIVE
99	39.01	GNPS/MassIVE
100	39.01	GNPS/MassIVE
101	39.82	GNPS/MassIVE
102	39.88	GNPS/MassIVE
103	39.93	GNPS/MassIVE
104	39.93	GNPS/MassIVE
105	39.93	GNPS/MassIVE
106	39.96	GNPS/MassIVE
107	39.96	GNPS/MassIVE
108	39.96	GNPS/MassIVE
109	39.96	GNPS/MassIVE
110	39.96	GNPS/MassIVE
111	39.96	GNPS/MassIVE
112	39.96	GNPS/MassIVE
113	39.96	GNPS/MassIVE
114	39.96	GNPS/MassIVE
115	39.96	GNPS/MassIVE
116	39.96	GNPS/MassIVE
117	39.96	GNPS/MassIVE
118	39.96	GNPS/MassIVE
119	39.96	GNPS/MassIVE
120	39.99	GNPS/MassIVE
121	39.99	GNPS/MassIVE
122	39.99	GNPS/MassIVE
123	39.99	GNPS/MassIVE
124	39.99	GNPS/MassIVE
125	39.99	GNPS/MassIVE
126	39.99	GNPS/MassIVE
127	39.99	GNPS/MassIVE
128	39.99	GNPS/MassIVE
129	40	GNPS/MassIVE
130	39.99	GNPS/MassIVE
131	39.99	GNPS/MassIVE
132	39.99	GNPS/MassIVE
133	40	MetaboLights
134	40	GNPS/MassIVE
135	40.01	Metabolomics Workbench
136	40.01	Metabolomics Workbench
137	40.01	GNPS/MassIVE
138	40.01	GNPS/MassIVE
139	40.01	GNPS/MassIVE
140	40.01	Metabolomics Workbench
141	40.03	GNPS/MassIVE
142	40.03	GNPS/MassIVE
143	40.03	GNPS/MassIVE
144	40.03	GNPS/MassIVE
145	40.03	GNPS/MassIVE
146	40.05	GNPS/MassIVE
147	40.07	GNPS/MassIVE
148	40.07	GNPS/MassIVE
149	40.07	GNPS/MassIVE
150	40.07	GNPS/MassIVE
151	40.88	MetaboLights
152	40.88	GNPS/MassIVE
153	40.88	GNPS/MassIVE
154	40.89	GNPS/MassIVE
155	40.89	GNPS/MassIVE
156	40.89	GNPS/MassIVE
157	40.92	GNPS/MassIVE
158	40.92	GNPS/MassIVE
159	40.92	GNPS/MassIVE
160	40.93	GNPS/MassIVE
161	40.93	GNPS/MassIVE
162	40.93	GNPS/MassIVE
163	40.93	GNPS/MassIVE
164	40.93	GNPS/MassIVE
165	40.94	GNPS/MassIVE
166	40.94	GNPS/MassIVE
167	40.94	GNPS/MassIVE
168	40.94	GNPS/MassIVE
169	40.94	MetaboLights
170	40.94	GNPS/MassIVE
171	40.94	MetaboLights
172	40.94	GNPS/MassIVE
173	40.94	GNPS/MassIVE
174	40.94	GNPS/MassIVE
175	40.94	GNPS/MassIVE
176	40.94	GNPS/MassIVE
177	40.94	GNPS/MassIVE
178	40.94	GNPS/MassIVE
179	40.94	Metabolomics Workbench
180	40.94	MetaboLights
181	40.94	GNPS/MassIVE
182	40.94	GNPS/MassIVE
183	40.94	GNPS/MassIVE
184	40.94	GNPS/MassIVE
185	40.94	GNPS/MassIVE
186	40.94	GNPS/MassIVE
187	40.94	GNPS/MassIVE
188	40.94	GNPS/MassIVE
189	40.94	GNPS/MassIVE
190	40.94	GNPS/MassIVE
191	40.94	GNPS/MassIVE
192	40.94	GNPS/MassIVE
193	40.94	GNPS/MassIVE
194	40.94	GNPS/MassIVE
195	40.94	GNPS/MassIVE
196	40.94	GNPS/MassIVE
197	40.94	GNPS/MassIVE
