delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
-15.99	5	23	115	146.11774	Candidate Carnitine (delta mass -15.9948; sirius atomic difference: -1O; literature atomic difference: -1O)	-15.9948	O-1	O	6.84E-05	20.5592776
42.01	7	1416	1638	204.12369	"Candidate Carnitine (delta mass 42.0112; sirius atomic difference: 2C, 1H, 1F, 1N, -1O; literature atomic difference: 2C, 2H, 1O)"	42.0112	C2HFNO-1	CHFNO	4.90E-05	20.8389164
56.03	2	2506	2864	218.13983	"Candidate Carnitine (delta mass 56.0273; sirius atomic difference: 2C, 4H, 2N; literature atomic difference: 3C, 4H, 1O)"	56.0273	C2H4N2	CHN	0.000137526	20.1398194
70.04	8	2891	3348	232.15681	"Candidate Carnitine (delta mass 70.0443; sirius atomic difference: 3C, 6H, 2N; literature atomic difference: 4C, 6H, 1O)"	70.0443	C3H6N2	CHN	0.000172297	20.9787358
82.04	3	4187	4713	244.14999	"Candidate Carnitine (delta mass 82.0375; sirius atomic difference: 6C, 2H, 1B, 1N, -1O; literature atomic difference: 5C, 6H, 1O)"	82.0375	C6H2BNO-1	unclassified	0.000163834	20.2796388
85.05	108	5412	5976	247.16676	"Candidate Carnitine (delta mass 85.0543; sirius atomic difference: 4C, 7H, 1N, 1O; literature atomic difference: 4C, 7H, 1N, 1O)"	85.0543	C4H7NO	CHNO	0.000202293	34.96067579
93.02	20	5818	6422	255.13408	"Candidate Carnitine (delta mass 93.0216; sirius atomic difference: 5C, 3H, 1N, 1O; buddy atomic difference: 5C, 3H, 1N, 1O; literature atomic difference: 5C, 3H, 1N, 1O)"	93.0216	C5H3NO	CHNO	7.84E-05	22.6565686
100.02	2	7590	8271	262.13403	"Candidate Carnitine (delta mass 100.0215; sirius atomic difference: 3C, 4H, 2N, 2O; literature atomic difference: 4C, 4H, 3O)"	100.0215	C3H4N2O2	CHNO	7.63E-05	20.1398194
105.02	66	8261	8976	267.13336	"Candidate Carnitine (delta mass 105.0209; sirius atomic difference: 6C, 3H, 1N, 1O; buddy atomic difference: 6C, 3H, 1N, 1O; literature atomic difference: 6C, 3H, 1N, 1O)"	105.0209	C6H3NO	CHNO	7.49E-05	29.088261
108.02	2	8292	9016	270.13	"Candidate Carnitine (delta mass 108.0175; sirius atomic difference: 4C, 2H, 3N, 1O; literature atomic difference: 6C, 4H, 2O)"	108.0175	C4H2N3O	CHNO	7.40E-05	20.1398194
112.05	3	8474	9243	274.16	"Candidate Carnitine (delta mass 112.0475; sirius atomic difference: 7C, 9H, 1Cl, -1O; literature atomic difference: 6C, 8H, 2O)"	112.0475	C7H9ClO-1	CHClO	0.000182375	20.2796388
113.05	137	8562	9346	275.1582	"Candidate Carnitine (delta mass 113.0457; literature atomic difference: 5C, 7H, 1N, 2O)"	113.0457	C5H7NO2	CHNO	0.000181714	39.01543839
124.05	44	9581	10441	286.16	"Candidate Carnitine (delta mass 124.0475; sirius atomic difference: 6C, 8H, 2N, -1O, 1S; literature atomic difference: 7C, 8H, 2O)"	124.0475	C6H8N2O-1S	CHNOS	0.000174727	26.0122342
126.03	2	10202	11077	288.14117	"Candidate Carnitine (delta mass 126.0287; sirius atomic difference: 5C, 6H, 2N, 2O; literature atomic difference: 6C, 6H, 3O)"	126.0287	C5H6N2O2	CHNO	0.000104116	20.1398194
127.06	21	10521	11409	289.17532	"Candidate Carnitine (delta mass 127.0628; sirius atomic difference: 6C, 9H, 1N, 2O; buddy atomic difference: 6C, 9H, 1N, 2O; literature atomic difference: 6C, 9H, 1N, 2O)"	127.0628	C6H9NO2	CHNO	0.000207487	22.796388
127.07	19	10524	11412	289.1792	"Candidate Carnitine (delta mass 127.0667; sirius atomic difference: 5C, 9H, 3N, 1O; literature atomic difference: 6C, 9H, 1N, 2O)"	127.0667	C5H9N3O	CHNO	0.000242064	22.5167492
128.05	2	10996	11886	290.16281	"Candidate Carnitine (delta mass 128.0503; sirius atomic difference: 7C, 4H, 4N, -1O; literature atomic difference: 6C, 8H, 3O)"	128.0503	C7H4N4O-1	CHNO	0.000172317	20.1398194
131.99	83	11224	12137	294.10001	"Candidate Carnitine (delta mass 131.9875; literature atomic difference: 4C, 4H, 3O, 1S)"	131.9875	C4H4O3S	CHOS	-3.40E-05	31.4651908
139.06	26	11671	12635	301.17511	"Candidate Carnitine (delta mass 139.0626; sirius atomic difference: 7C, 9H, 1N, 2O; buddy atomic difference: 7C, 9H, 1N, 2O; literature atomic difference: 7C, 9H, 1N, 2O)"	139.0626	C7H9NO2	CHNO	0.00019922	23.495485
139.07	25	11677	12641	301.17999	"Candidate Carnitine (delta mass 139.0675; sirius atomic difference: 7C, 9H, 1N, 2O; literature atomic difference: 7C, 9H, 1N, 2O)"	139.0675	C7H9NO2	CHNO	0.000232419	23.3556656
140.05	4	11788	12764	302.16	"Candidate Carnitine (delta mass 140.0475; sirius atomic difference: 6C, 8H, 2N, 2O; literature atomic difference: 7C, 8H, 3O)"	140.0475	C6H8N2O2	CHNO	0.000165475	20.4194582
140.08	3	11804	12780	302.19473	"Candidate Carnitine (delta mass 140.0822; sirius atomic difference: 7C, 12H, 2N, 1O; literature atomic difference: 8C, 12H, 2O)"	140.0822	C7H12N2O	CHNO	0.00026473	20.2796388
141.09	35	12119	13123	303.20001	"Candidate Carnitine (delta mass 141.0875; sirius atomic difference: 6C, 11H, 3N, 1O; literature atomic difference: 3C, 13H, 2N, 4O)"	141.0875	C6H11N3O	CHNO	0.000296834	24.7538596
142.03	2	12167	13175	304.1391	"Candidate Carnitine (delta mass 142.0266; sirius atomic difference: 4C, 4H, 3N, 3O; literature atomic difference: 6C, 6H, 4O)"	142.0266	C4H4N3O3	CHNO	9.86E-05	20.1398194
142.06	4	12194	13202	304.17361	"Candidate Carnitine (delta mass 142.0611; sirius atomic difference: 3C, 6H, 6N, 1O; literature atomic difference: 7C, 10H, 3O)"	142.0611	C3H6N6O	CHNO	0.000197256	20.4194582
144.02	29	12640	13656	306.13657	"Candidate Carnitine (delta mass 144.0241; literature atomic difference: 6C, 8H, 2O, 1S)"	144.0241	C6H8O2S	CHOS	6.53E-05	23.9149432
144.03	8	12642	13658	306.14001	"Candidate Carnitine (delta mass 144.0275; sirius atomic difference: 6C, 8H, 2O, 1S; literature atomic difference: 6C, 8H, 2O, 1S)"	144.0275	C6H8O2S	CHOS	9.80E-05	20.9787358
146.04	46	12955	13978	308.15179	"Candidate Carnitine (delta mass 146.0393; sirius atomic difference: 6C, 10H, 2O, 1S; literature atomic difference: 9C, 6H, 2O)"	146.0393	C6H10O2S	CHOS	0.000129806	26.291873
150.1	2	13437	14505	312.21674	"Candidate Carnitine (delta mass 150.1042; sirius atomic difference: 5C, 14H, 2N, 3O; literature atomic difference: 10C, 14H, 1O)"	150.1042	C5H14N2O3	CHNO	0.00032029	20.1398194
152.03	54	13589	14671	314.14062	"Candidate Carnitine (delta mass 152.0281; literature atomic difference: 8C, 8H, 1O, 1S)"	152.0281	C8H8OS	CHOS	9.55E-05	27.4104282
152.12	2	13686	14768	314.23068	"Candidate Carnitine (delta mass 152.1182; sirius atomic difference: 9C, 14H, 1N, 1O; literature atomic difference: 10C, 16H, 1O)"	152.1182	C9H14NO	CHNO	0.000381885	20.1398194
153.08	71	14036	15125	315.19101	"Candidate Carnitine (delta mass 153.0785; sirius atomic difference: 8C, 11H, 1N, 2O; buddy atomic difference: 8C, 11H, 1N, 2O; literature atomic difference: 8C, 11H, 1N, 2O)"	153.0785	C8H11NO2	CHNO	0.000253814	29.787358
154.01	173	14076	15169	316.12	"Candidate Carnitine (delta mass 154.0075; literature atomic difference: 7C, 6H, 2O, 1S)"	154.0075	C7H6O2S	CHOS	3.16E-05	44.04893679
154.1	4	14198	15292	316.21033	"Candidate Carnitine (delta mass 154.0978; sirius atomic difference: 5C, 10H, 6N; literature atomic difference: 9C, 14H, 2O)"	154.0978	C5H10N6	CHN	0.000316245	20.4194582
155.09	6	14571	15677	317.20663	"Candidate Carnitine (delta mass 155.0941; sirius atomic difference: 8C, 13H, 1N, 2O; buddy atomic difference: 8C, 13H, 1N, 2O; literature atomic difference: 8C, 13H, 1N, 2O)"	155.0941	C8H13NO2	CHNO	0.000283727	20.699097
155.1	42	14573	15679	317.20999	"Candidate Carnitine (delta mass 155.0975; literature atomic difference: 8C, 13H, 1N, 2O)"	155.0975	C8H13NO2	CHNO	0.000315249	25.7325954
156.04	2	14611	15728	318.15161	"Candidate Carnitine (delta mass 156.0391; sirius atomic difference: 6C, 8H, 2N, 1O, 1S; literature atomic difference: 7C, 8H, 4O)"	156.0391	C6H8N2OS	CHNOS	0.000125726	20.1398194
157.05	3195	14867	15992	319.16495	"Candidate Carnitine (delta mass 157.0524; sirius atomic difference: 10C, 7H, 1N, 1O; literature atomic difference: 10C, 7H, 1N, 1O)"	157.0524	C10H7NO	CHNO	0.000156659	466.5831634
157.06	43	14872	15997	319.17001	"Candidate Carnitine (delta mass 157.0575; sirius atomic difference: 10C, 7H, 1N, 1O; literature atomic difference: 10C, 7H, 1N, 1O)"	157.0575	C10H7NO	CHNO	0.000187988	25.8724148
158.08	16	15016	16142	320.18936	"Candidate Carnitine (delta mass 158.0769; sirius atomic difference: 8C, 14H, 1O, 1S; buddy atomic difference: 8C, 14H, 1O, 1S; literature atomic difference: 11C, 10H, 1O)"	158.0769	C8H14OS	CHOS	0.000249852	22.097291
161.08	12	15061	16194	323.19638	"Candidate Carnitine (delta mass 161.0839; sirius atomic difference: 10C, 11H, 1N, 1O; buddy atomic difference: 10C, 11H, 1N, 1O; literature atomic difference: 10C, 11H, 1N, 1O)"	161.0839	C10H11NO	CHNO	0.000247528	21.5380134
162.08	176	15084	16219	324.18924	"Candidate Carnitine (delta mass 162.0767; sirius atomic difference: 9C, 10H, 2N, 1O; literature atomic difference: 9C, 10H, 2N, 1O)"	162.0767	C9H10N2O	CHNO	0.000246769	44.46839499
164.05	2	15159	16304	326.16278	"Candidate Carnitine (delta mass 164.0503; sirius atomic difference: 9C, 9H, 1Cl, 2N, -1O; literature atomic difference: 9C, 8H, 3O)"	164.0503	C9H9ClN2O-1	CHClNO	0.000153298	20.1398194
165.04	171	15255	16405	327.14999	"Candidate Carnitine (delta mass 165.0375; sirius atomic difference: 8C, 7H, 1N, 3O; literature atomic difference: 8C, 7H, 1N, 3O)"	165.0375	C8H7NO3	CHNO	0.000122268	43.76929799
165.05	7	15268	16418	327.16	"Candidate Carnitine (delta mass 165.0475; sirius atomic difference: 8C, 7H, 1N, 3O; literature atomic difference: 8C, 7H, 1N, 3O)"	165.0475	C8H7NO3	CHNO	0.00015283	20.8389164
167.06	164	15565	16724	329.16998	"Candidate Carnitine (delta mass 167.0575; sirius atomic difference: 8C, 9H, 1N, 3O; literature atomic difference: 8C, 9H, 1N, 3O)"	167.0575	C8H9NO3	CHNO	0.000182277	42.79056219
