counts	precmz	delta_mass	delta_mass_r2	delta_MF_final	delta_MF_unique_combination
5	146.11774	-15.99476	-15.99	O-1	O
101	247.16676	85.05426	85.05	C4H7NO	CHNO
2	247.16536	85.05286	85.05	C4H7NO	CHNO
5	247.16641	85.05391	85.05	C4H7NO	CHNO
4	255.13408	93.02158	93.02	C5H3NO	CHNO
8	255.13412	93.02162	93.02	C5H3NO	CHNO
4	255.13379	93.02129	93.02	C5H3NO	CHNO
2	255.13403	93.02153	93.02	C5H3NO	CHNO
2	255.13429	93.02179	93.02	C5H3NO	CHNO
7	266.12195	104.00945	104.01	C4N4	CN
2	266.12219	104.00969	104.01	C4N4	CN
2	267.13336	105.02086	105.02	C6H3NO	CHNO
12	267.13333	105.02083	105.02	C6H3NO	CHNO
2	267.13174	105.01924	105.02	C6H3NO	CHNO
3	267.13449	105.02199	105.02	C6H3NO	CHNO
12	267.13391	105.02141	105.02	C6H3NO	CHNO
2	267.13361	105.02111	105.02	C6H3NO	CHNO
31	267.13406	105.02156	105.02	C6H3NO	CHNO
2	267.13388	105.02138	105.02	C6H3NO	CHNO
2	275.1582	113.0457	113.05	C5H7NO2	CHNO
7	275.15878	113.04628	113.05	C5H7NO2	CHNO
67	275.16	113.0475	113.05	C5H7NO2	CHNO
6	275.15997	113.04747	113.05	C5H7NO2	CHNO
5	275.16013	113.04763	113.05	C5H7NO2	CHNO
6	275.16	113.0475	113.05	C5H7NO2	CHNO
18	275.16	113.0475	113.05	C5H7NO2	CHNO
9	275.16	113.0475	113.05	C5H7NO2	CHNO
6	275.16	113.0475	113.05	C5H7NO2	CHNO
6	275.16	113.0475	113.05	C5H7NO2	CHNO
3	275.16	113.0475	113.05	C5H7NO2	CHNO
2	275.16019	113.04769	113.05	C5H7NO2	CHNO
2	275.1608	113.0483	113.05	C5H7NO2	CHNO
8	289.17532	127.06282	127.06	C6H9NO2	CHNO
11	289.17575	127.06325	127.06	C6H9NO2	CHNO
2	289.17578	127.06328	127.06	C6H9NO2	CHNO
2	289.1792	127.0667	127.07	C6H9NO2	CHNO
2	289.17941	127.06691	127.07	C6H9NO2	CHNO
6	289.17999	127.06749	127.07	C6H9NO2	CHNO
9	289.17999	127.06749	127.07	C6H9NO2	CHNO
64	294.10001	131.98751	131.99	C4H4O3S	CHOS
17	294.10028	131.98778	131.99	C4H4O3S	CHOS
2	294.10016	131.98766	131.99	C4H4O3S	CHOS
5	296.13	134.0175	134.02	C8H3FO	CHFO
40	296.13531	134.02281	134.02	C3H6N2O2S	CHNOS
19	297.18112	135.06862	135.07	C8H9NO	CHNO
20	297.18411	135.07161	135.07	C8H9NO	CHNO
8	301.17511	139.06261	139.06	C7H9NO2	CHNO
2	301.17444	139.06194	139.06	C7H9NO2	CHNO
4	301.17596	139.06346	139.06	C7H9NO2	CHNO
5	301.17578	139.06328	139.06	C7H9NO2	CHNO
5	301.17651	139.06401	139.06	C7H9NO2	CHNO
2	301.17593	139.06343	139.06	C7H9NO2	CHNO
10	301.17999	139.06749	139.07	C7H9NO2	CHNO
2	301.1759	139.0634	139.06	C7H9NO2	CHNO
12	301.17999	139.06749	139.07	C7H9NO2	CHNO
3	301.17999	139.06749	139.07	C7H9NO2	CHNO
3	301.17999	139.06749	139.07	C7H9NO2	CHNO
5	303.20001	141.08751	141.09	C3H13N2O4	CHNO
2	303.20001	141.08751	141.09	C3H13N2O4	CHNO
24	303.20001	141.08751	141.09	C3H13N2O4	CHNO
3	303.20001	141.08751	141.09	C3H13N2O4	CHNO
3	303.20001	141.08751	141.09	C3H13N2O4	CHNO
3	303.20001	141.08751	141.09	C3H13N2O4	CHNO
6	306.13657	144.02407	144.02	C6H8O2S	CHOS
2	306.13568	144.02318	144.02	C6H8O2S	CHOS
8	306.14001	144.02751	144.03	C6H8O2S	CHOS
13	306.13602	144.02352	144.02	C6H8O2S	CHOS
4	306.13596	144.02346	144.02	C6H8O2S	CHOS
2	306.13596	144.02346	144.02	C6H8O2S	CHOS
2	306.13602	144.02352	144.02	C6H8O2S	CHOS
2	306.13623	144.02373	144.02	C6H8O2S	CHOS
2	308.16479	146.05229	146.05	C5H10N2OS	CHNOS
5	314.14062	152.02812	152.03	C8H8OS	CHOS
40	314.14102	152.02852	152.03	C8H8OS	CHOS
2	314.14075	152.02825	152.03	C8H8OS	CHOS
2	314.14093	152.02843	152.03	C8H8OS	CHOS
2	314.14099	152.02849	152.03	C8H8OS	CHOS
3	314.14111	152.02861	152.03	C8H8OS	CHOS
2	315.19254	153.08004	153.08	C8H11NO2	CHNO
4	315.19101	153.07851	153.08	C8H11NO2	CHNO
4	315.19083	153.07833	153.08	C8H11NO2	CHNO
2	315.19165	153.07915	153.08	C8H11NO2	CHNO
18	315.19427	153.08177	153.08	C8H11NO2	CHNO
2	315.19525	153.08275	153.08	C8H11NO2	CHNO
13	315.19547	153.08297	153.08	C8H11NO2	CHNO
10	315.19553	153.08303	153.08	C8H11NO2	CHNO
2	315.19547	153.08297	153.08	C8H11NO2	CHNO
12	315.19595	153.08345	153.08	C8H11NO2	CHNO
2	315.19598	153.08348	153.08	C8H11NO2	CHNO
2	315.19647	153.08397	153.08	C8H11NO2	CHNO
2	316.11835	154.00585	154.01	C7H6O2S	CHOS
3	316.12	154.0075	154.01	C7H6O2S	CHOS
3	316.12	154.0075	154.01	C7H6O2S	CHOS
156	316.12115	154.00865	154.01	C7H6O2S	CHOS
4	316.12119	154.00869	154.01	C7H6O2S	CHOS
3	316.12115	154.00865	154.01	C7H6O2S	CHOS
2	316.1214	154.0089	154.01	C7H6O2S	CHOS
2	316.12674	154.01424	154.01	C7H6O2S	CHOS
2	317.20663	155.09413	155.09	C8H13NO2	CHNO
4	317.20706	155.09456	155.09	C8H13NO2	CHNO
2	317.20999	155.09749	155.1	C8H13NO2	CHNO
12	317.21039	155.09789	155.1	C8H13NO2	CHNO
2	317.21262	155.10012	155.1	C8H13NO2	CHNO
7	317.21069	155.09819	155.1	C8H13NO2	CHNO
2	317.21063	155.09813	155.1	C8H13NO2	CHNO
17	317.21146	155.09896	155.1	C8H13NO2	CHNO
2	317.211	155.0985	155.1	C8H13NO2	CHNO
26	319.16	157.0475	157.05	C10H7NO	CHNO
2451	319.16495	157.05245	157.05	C10H7NO	CHNO
4	319.16541	157.05291	157.05	C10H7NO	CHNO
69	319.16489	157.05239	157.05	C10H7NO	CHNO
24	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16528	157.05278	157.05	C10H7NO	CHNO
37	319.17001	157.05751	157.06	C10H7NO	CHNO
2	319.16428	157.05178	157.05	C10H7NO	CHNO
2	319.16428	157.05178	157.05	C10H7NO	CHNO
8	319.16516	157.05266	157.05	C10H7NO	CHNO
15	319.16476	157.05226	157.05	C10H7NO	CHNO
2	319.1644	157.0519	157.05	C10H7NO	CHNO
24	319.16568	157.05318	157.05	C10H7NO	CHNO
2	319.16431	157.05181	157.05	C10H7NO	CHNO
4	319.16495	157.05245	157.05	C10H7NO	CHNO
6	319.1651	157.0526	157.05	C10H7NO	CHNO
2	319.1644	157.0519	157.05	C10H7NO	CHNO
4	319.16492	157.05242	157.05	C10H7NO	CHNO
180	319.16504	157.05254	157.05	C10H7NO	CHNO
2	319.16461	157.05211	157.05	C10H7NO	CHNO
2	319.16464	157.05214	157.05	C10H7NO	CHNO
4	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.1647	157.0522	157.05	C10H7NO	CHNO
2	319.16464	157.05214	157.05	C10H7NO	CHNO
2	319.16467	157.05217	157.05	C10H7NO	CHNO
2	319.1647	157.0522	157.05	C10H7NO	CHNO
32	319.16492	157.05242	157.05	C10H7NO	CHNO
14	319.16479	157.05229	157.05	C10H7NO	CHNO
2	319.16476	157.05226	157.05	C10H7NO	CHNO
2	319.16479	157.05229	157.05	C10H7NO	CHNO
26	319.1655	157.053	157.05	C10H7NO	CHNO
2	319.16476	157.05226	157.05	C10H7NO	CHNO
2	319.16473	157.05223	157.05	C10H7NO	CHNO
2	319.16473	157.05223	157.05	C10H7NO	CHNO
3	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16476	157.05226	157.05	C10H7NO	CHNO
2	319.16483	157.05233	157.05	C10H7NO	CHNO
2	319.16479	157.05229	157.05	C10H7NO	CHNO
2	319.16483	157.05233	157.05	C10H7NO	CHNO
2	319.16486	157.05236	157.05	C10H7NO	CHNO
2	319.16489	157.05239	157.05	C10H7NO	CHNO
2	319.16489	157.05239	157.05	C10H7NO	CHNO
2	319.16486	157.05236	157.05	C10H7NO	CHNO
5	319.16501	157.05251	157.05	C10H7NO	CHNO
3	319.16553	157.05303	157.05	C10H7NO	CHNO
2	319.16492	157.05242	157.05	C10H7NO	CHNO
10	319.16559	157.05309	157.05	C10H7NO	CHNO
2	319.16489	157.05239	157.05	C10H7NO	CHNO
2	319.16498	157.05248	157.05	C10H7NO	CHNO
2	319.16498	157.05248	157.05	C10H7NO	CHNO
18	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16492	157.05242	157.05	C10H7NO	CHNO
2	319.16495	157.05245	157.05	C10H7NO	CHNO
2	319.16498	157.05248	157.05	C10H7NO	CHNO
2	319.16498	157.05248	157.05	C10H7NO	CHNO
2	319.16501	157.05251	157.05	C10H7NO	CHNO
2	319.16492	157.05242	157.05	C10H7NO	CHNO
2	319.16492	157.05242	157.05	C10H7NO	CHNO
2	319.16501	157.05251	157.05	C10H7NO	CHNO
7	319.16556	157.05306	157.05	C10H7NO	CHNO
2	319.1651	157.0526	157.05	C10H7NO	CHNO
9	319.16592	157.05342	157.05	C10H7NO	CHNO
2	319.16501	157.05251	157.05	C10H7NO	CHNO
3	319.16568	157.05318	157.05	C10H7NO	CHNO
6	319.16501	157.05251	157.05	C10H7NO	CHNO
2	319.16507	157.05257	157.05	C10H7NO	CHNO
30	319.16528	157.05278	157.05	C10H7NO	CHNO
3	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.16507	157.05257	157.05	C10H7NO	CHNO
4	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.1651	157.0526	157.05	C10H7NO	CHNO
2	319.16507	157.05257	157.05	C10H7NO	CHNO
5	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.16516	157.05266	157.05	C10H7NO	CHNO
2	319.16519	157.05269	157.05	C10H7NO	CHNO
2	319.16516	157.05266	157.05	C10H7NO	CHNO
2	319.16513	157.05263	157.05	C10H7NO	CHNO
2	319.16513	157.05263	157.05	C10H7NO	CHNO
2	319.16519	157.05269	157.05	C10H7NO	CHNO
2	319.16513	157.05263	157.05	C10H7NO	CHNO
2	319.16519	157.05269	157.05	C10H7NO	CHNO
2	319.16513	157.05263	157.05	C10H7NO	CHNO
15	319.16571	157.05321	157.05	C10H7NO	CHNO
2	319.16522	157.05272	157.05	C10H7NO	CHNO
3	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.16525	157.05275	157.05	C10H7NO	CHNO
2	319.16528	157.05278	157.05	C10H7NO	CHNO
2	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16528	157.05278	157.05	C10H7NO	CHNO
