counts	precmz	delta_mass	delta_mass_r2	putative explanation	delta_MF_final	delta_MF_unique_combination
97	204.12646	42.01396	42.01	CAR C2:0	C2H2O	CHO
709	204.12006	42.00756	42.01	CAR C2:0	C2H2O	CHO
78244	204.12321	42.01071	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
20	204.12325	42.01075	42.01	CAR C2:0	C2H2O	CHO
2	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
12	204.1225	42.01	42.01	CAR C2:0	C2H2O	CHO
6	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
10	204.12343	42.01093	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
3	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
4	204.1232	42.0107	42.01	CAR C2:0	C2H2O	CHO
7	204.12	42.0075	42.01	CAR C2:0	C2H2O	CHO
2	204.12025	42.00775	42.01	CAR C2:0	C2H2O	CHO
42	204.12424	42.01174	42.01	CAR C2:0	C2H2O	CHO
2	204.12102	42.00852	42.01	CAR C2:0	C2H2O	CHO
9	204.12308	42.01058	42.01	CAR C2:0	C2H2O	CHO
9	204.12358	42.01108	42.01	CAR C2:0	C2H2O	CHO
2	204.12282	42.01032	42.01	CAR C2:0	C2H2O	CHO
10	204.12302	42.01052	42.01	CAR C2:0	C2H2O	CHO
302	204.1232	42.0107	42.01	CAR C2:0	C2H2O	CHO
2	204.12195	42.00945	42.01	CAR C2:0	C2H2O	CHO
2	204.12195	42.00945	42.01	CAR C2:0	C2H2O	CHO
14	204.12366	42.01116	42.01	CAR C2:0	C2H2O	CHO
14	204.123	42.0105	42.01	CAR C2:0	C2H2O	CHO
74	204.12209	42.00959	42.01	CAR C2:0	C2H2O	CHO
5	204.12337	42.01087	42.01	CAR C2:0	C2H2O	CHO
