origin_repository	precmz	count
GNPS/MassIVE	143.0339	2
GNPS/MassIVE	143.034	3
GNPS/MassIVE	144.07	7
GNPS/MassIVE	144.1	98
GNPS/MassIVE	144.1012	4
GNPS/MassIVE	144.1013	2
GNPS/MassIVE	144.1018	10
GNPS/MassIVE	144.1019	19
GNPS/MassIVE	144.102	15
GNPS/MassIVE	144.1021	4
GNPS/MassIVE	144.957	2
GNPS/MassIVE	145.0472	2
GNPS/MassIVE	145.049	1
GNPS/MassIVE	145.0491	4
GNPS/MassIVE	145.0492	66
GNPS/MassIVE	145.0493	290
GNPS/MassIVE	145.0494	472
GNPS/MassIVE	145.0495	655
GNPS/MassIVE	145.0496	1053
GNPS/MassIVE	145.0497	611
GNPS/MassIVE	145.0498	211
GNPS/MassIVE	145.0499	55
GNPS/MassIVE	145.05	3
GNPS/MassIVE	153.1071	3
GNPS/MassIVE	153.1072	1
GNPS/MassIVE	160.1324	2
GNPS/MassIVE	162.0552	5
GNPS/MassIVE	162.0554	3
GNPS/MassIVE	162.076	6
GNPS/MassIVE	162.0761	34
GNPS/MassIVE	162.0762	75
GNPS/MassIVE	162.0763	56
GNPS/MassIVE	162.0764	50
GNPS/MassIVE	162.0765	14
GNPS/MassIVE	162.08	11
GNPS/MassIVE	162.11	31
GNPS/MassIVE	162.1124	1
GNPS/MassIVE	162.1125	1
GNPS/MassIVE	162.1234	2
GNPS/MassIVE	162.9674	2
GNPS/MassIVE	162.9675	2
GNPS/MassIVE	162.9676	2
GNPS/MassIVE	163.0601	2
GNPS/MassIVE	163.0602	4
GNPS/MassIVE	169.0913	2
GNPS/MassIVE	169.0915	2
GNPS/MassIVE	169.0916	2
GNPS/MassIVE	170.6274	1
GNPS/MassIVE	170.6275	9
GNPS/MassIVE	170.6276	11
GNPS/MassIVE	170.6277	7
GNPS/MassIVE	170.6278	1
GNPS/MassIVE	171.1378	1
GNPS/MassIVE	171.1379	1
GNPS/MassIVE	171.138	1
GNPS/MassIVE	174.1125	8
GNPS/MassIVE	174.1126	4
GNPS/MassIVE	176.0829	6
GNPS/MassIVE	176.083	2
GNPS/MassIVE	176.62	3
GNPS/MassIVE	182.6274	1
GNPS/MassIVE	182.6276	1
GNPS/MassIVE	182.6277	3
GNPS/MassIVE	182.6278	3
GNPS/MassIVE	182.6279	6
GNPS/MassIVE	182.6281	2
GNPS/MassIVE	186.0755	1
GNPS/MassIVE	186.0756	1
GNPS/MassIVE	186.0757	1
GNPS/MassIVE	186.076	1
GNPS/MassIVE	188.0683	2
GNPS/MassIVE	189.1335	2
GNPS/MassIVE	189.6352	1
GNPS/MassIVE	189.6356	1
GNPS/MassIVE	190.1067	2
GNPS/MassIVE	190.1069	4
GNPS/MassIVE	190.107	6
GNPS/MassIVE	190.1071	32
GNPS/MassIVE	190.1072	20
GNPS/MassIVE	190.1073	33
GNPS/MassIVE	190.1074	41
GNPS/MassIVE	190.1075	28
GNPS/MassIVE	190.1076	10
GNPS/MassIVE	190.1079	2
GNPS/MassIVE	190.11	20
GNPS/MassIVE	190.13	2
GNPS/MassIVE	192.0556	3
GNPS/MassIVE	195.6272	2
GNPS/MassIVE	195.635	1
GNPS/MassIVE	195.6351	1
GNPS/MassIVE	195.6352	1
GNPS/MassIVE	195.6353	15
GNPS/MassIVE	195.6354	15
GNPS/MassIVE	195.6355	31
GNPS/MassIVE	195.6356	24
GNPS/MassIVE	195.6357	16
GNPS/MassIVE	195.6358	6
GNPS/MassIVE	195.6359	2
GNPS/MassIVE	195.636	1
