putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C10:0	154.135	316.24737500000003	0.00042688099988887117	12394
CAR C10:0;O	170.13	332.23999	0.0003912834213605516	5083
CAR C10:0;O2	186.125	348.237625	0.0003589502932974462	366
CAR C10:0;O4	218.11	380.22733	0.0002893006139248687	2
CAR C10:1	152.12	314.23264	0.00038188267138641153	19576
CAR C10:1;O	168.115	330.227445	0.00034824481604274894	8833
CAR C10:1;O2	184.11	346.22235	0.00031771490199871164	3971
CAR C10:1;O3	200.10500000000002	362.21746499999995	0.0002898810995549609	482
CAR C10:2	150.10500000000002	312.216965	0.00033630455689618254	6347
CAR C10:2;O	166.1	328.20999	0.0003046829866452094	6492
CAR C10:2;O2	182.095	344.20709	0.0002759966121081306	4821
CAR C10:2;O3	198.09	360.20013	0.00024986109805125113	198
CAR C10:3	148.09	310.1991	0.0002901362383063117	17436
CAR C10:3;O	164.08	326.194	0.00024525282500601636	600
CAR C10:3;O2	180.08	342.19141	0.00023378728297128353	768
CAR C10:3;O3	196.07	358.18579	0.000195429304998373	5
CAR C10:4	146.075	308.18559	0.00024335962128392569	1460
CAR C10:4;O	162.07	324.18018	0.00021592930203195388	239
CAR C10:4;O2	178.065	340.17499999999995	0.00019107790598774804	2865
CAR C10:4;O3	194.06	356.16962	0.00016845906172458582	67
CAR C10:4;O4	210.05	372.16461	0.00013434915265052034	4
CAR C11:0	168.15	330.2634	0.00045418293398543616	2367
CAR C11:0;O	184.15	346.25839	0.00043320249943981334	896
CAR C11:0;O2	200.14	362.25363	0.0003864695572546405	10
CAR C11:1	166.135	328.24768	0.0004112747846602643	9389
CAR C11:1;O	182.135	344.246595	0.00039216059800786633	1346
CAR C11:1;O2	198.13	360.23801	0.0003608725242513844	411
CAR C11:1;O3	214.12	376.23236	0.0003189518307250459	13
CAR C11:2	164.12	326.23001	0.0003678386301738597	742
CAR C11:2;O	180.115	342.22641	0.0003360347823841818	1528
CAR C11:2;O2	196.11	358.22211	0.0003070720564959367	953
CAR C11:2;O3	212.10500000000002	374.217345	0.0002805855872874866	24
CAR C11:2;O4	228.1	390.21259	0.00025627056266942674	2
CAR C11:3	162.1	324.21432	0.00030843794931696515	71
CAR C11:3;O	178.1	340.21164	0.0002939346813647949	12
CAR C11:3;O2	194.09	356.20673	0.00025266226721770084	28
CAR C11:3;O3	210.09	372.20105	0.0002418047987774441	9
CAR C11:3;O4	226.08	388.19669	0.000206081097703364	3
CAR C11:4	160.09	322.20105	0.00027932869864950285	404
CAR C11:4;O	176.08	338.19614	0.00023654912205684105	4
CAR C11:4;O2	192.08	354.19122	0.000225866694267612	16
CAR C11:4;O4	224.07	386.18066	0.00018126231386106486	9
CAR C12:0	182.165	344.277175	0.00047926491505510035	13019
CAR C12:0;O	198.165	360.27646	0.0004579814925654143	3580
CAR C12:0;O2	214.16	376.26907	0.00042522761703479	573
CAR C12:1	180.155	342.265	0.0004528652568513153	12696
CAR C12:1;O	196.14499999999998	358.258255	0.00040473593091994273	4049
CAR C12:1;O2	212.14	374.25342	0.00037407807789702056	1098
CAR C12:1;O3	228.14	390.24857	0.0003587457091770672	286
CAR C12:2	178.135	340.24696	0.0003967705904441944	3112
CAR C12:2;O	194.135	356.24646	0.0003789509945688076	2304
CAR C12:2;O2	210.125	372.238115	0.00033580653395006376	1448
CAR C12:2;O3	226.12	388.23325	0.00030909253650995773	96
CAR C12:3	176.12	338.23236	0.0003547856863843677	2841
CAR C12:3;O	192.115	354.228055	0.00032464953237059416	1372
CAR C12:3;O2	208.11	370.22	0.0002971206309762132	202
CAR C12:3;O3	224.11	386.21774	0.00028481343192576715	12
CAR C12:3;O4	240.1	402.20999	0.0002486263456558956	10
CAR C12:4	174.10500000000002	336.21735	0.00031229795658952044	2458
CAR C12:4;O	190.1	352.21155	0.00028392027461903027	229
CAR C12:4;O2	206.095	368.20819	0.00025800614472908784	397
CAR C12:4;O3	222.09	384.20294	0.00023425120068056588	16
CAR C12:5	172.09	334.2005	0.00026929941756521436	7
CAR C12:5;O	188.08	350.19598	0.00022844351325795488	4
CAR C12:5;O3	220.075	382.18788	0.0001962384894760672	6
CAR C13:0	196.185	358.296525	0.000516332064459894	7565
CAR C13:0;O	212.18	374.28967	0.0004809109479297327	368
CAR C13:0;O2	228.17	390.28314	0.00043558120394334094	45
CAR C13:1	194.165	356.27728	0.00046312233366076644	5529
CAR C13:1;O	210.165	372.277055	0.0004432181845223931	321
CAR C13:1;O2	226.16	388.26938	0.00041208503230410955	155
CAR C13:2	192.15	354.26001	0.00042341781676121356	165
CAR C13:2;O	208.15	370.25769	0.0004051232534832853	425
CAR C13:2;O2	224.14499999999998	386.25667	0.0003753979362358679	795
CAR C13:2;O3	240.14	402.2475	0.0003480444253848349	8
CAR C13:3	190.14	352.24796	0.00039744729820432846	37
CAR C13:3;O	206.13	368.23999	0.0003530306417833529	22
CAR C13:3;O2	222.125	384.23870999999997	0.00032531855872895975	24
CAR C13:3;O3	238.12	400.23279	0.00029982550904938233	3
CAR C13:4	188.12	350.23267	0.0003426293726396357	510
CAR C13:4;O	204.115	366.227415	0.0003140125320324756	45
CAR C13:4;O2	220.11	382.22284	0.000287790232525125	7
CAR C13:4;O4	252.1	414.2114	0.00024142261656727532	2
CAR C13:5	186.1	348.21716	0.0002871771167164603	37
CAR C13:5;O	202.1	364.21246	0.0002745650162545079	2
CAR C13:5;O2	218.095	380.20719499999996	0.0002498637412044519	286
CAR C14:0	210.195	372.30922	0.0005237580873180289	17674
CAR C14:0;O	226.195	388.307285	0.0005021795175696987	5098
CAR C14:0;O2	242.19	404.3002	0.00046994782589768126	117
CAR C14:0;O3	258.18	420.29541	0.00042827020166603014	2
CAR C14:1	208.185	370.29499999999996	0.0004996014870708108	15881
CAR C14:1;O	224.18	386.28882	0.00046597258496895364	4119
CAR C14:1;O2	240.17	402.28458	0.00042258641879832303	1409
CAR C14:1;O3	256.17	418.27927	0.00040642702661314274	67
CAR C14:1;O4	272.16	434.27496	0.00036843017612626114	2
CAR C14:2	206.165	368.27763000000004	0.0004480314619711445	9389
CAR C14:2;O	222.165	384.27734499999997	0.0004293772911918769	2696
