ATTRIBUTE_antibiotics_YN	filename	MS_1697	MS_15121	MS_18116	MS_1976	MS_19774	MS_23767	MS_22584	MS_21720	MS_24112	MS_25227	MS_19201	MS_25922	MS_24345	MS_27100	MS_25642	MS_26845	MS_20303	MS_21761	MS_23950	MS_25113	MS_20431	MS_21769
No	SS18_RB6_01_7326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.33328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
No	SS249_RF3_01_7596	0.0	0.0	44.214855	0.0	0.0	410.31012	80.12889	0.0	503.54013	3726.8171	22.708645	289.33618	703.72894	832.28864	3863.4343	2819.3813	93.72031	82.51191	168.99582	170.64574	3.9511936	6.218198
No	SS253_RF7_01_7600	22.335865	0.0	44.65818	0.0	0.0	565.552	54.03562	0.0	636.57886	4637.856	16.127796	414.64902	878.2355	1608.3713	3947.0388	3776.6572	41.492516	39.113796	171.43916	164.27185	5.8848166	4.341568
No	SS290_RA11_01_7644	0.0	0.0	28.74834	0.0	0.0	299.72266	0.0	0.0	333.92056	979.0943	6.0767603	27.38656	451.0271	389.7015	1476.0281	986.4886	35.17327	34.81301	18.128029	67.61439	0.0	0.0
No	SS286_RA7_01_7640	0.0	0.0	0.0	0.0	0.0	327.4607	136.26898	0.0	378.33902	1293.9116	0.0	48.351097	497.84247	3529.5066	1695.9922	1371.7303	54.406925	26.326672	49.55074	90.83994	0.0	0.0
No	SS275_RH5_01_7624	29.730598	0.0	0.0	17.526203	0.0	446.78574	0.0	0.0	248.39957	2747.9893	2.8015027	415.48605	311.83704	1605.0643	2464.29	3379.049	38.740055	42.012466	227.3262	392.27716	4.4671	4.0019493
No	SS282_RA3_01_7636	0.0	0.0	20.487522	0.0	0.0	255.84644	144.16685	0.0	351.6681	1214.9945	0.0	84.016	809.49536	0.0	2889.1418	1325.6615	13.34246	50.05108	50.166473	121.10373	2.9226685	0.0
No	SS262_RG4_01_7610	312.16956	0.0	171.2726	9.065164	0.0	892.46136	28.873709	5.7159185	712.2781	4183.8096	140.38562	479.06787	852.8638	2011.82	3948.6392	2531.4521	422.7348	288.7967	156.77005	194.72972	3.3003225	7.273331
No	SS280_RA1_01_7634	0.0	0.0	46.55237	2.7873945	0.0	860.32654	246.83372	0.0	1040.0267	2439.6921	15.915585	102.82587	984.7386	53.10709	4782.0513	1801.8688	332.1254	193.63583	190.77406	147.12076	0.0	2.845634
No	SS254_RF8_01_7601	67.553566	0.0	48.81125	46.79932	0.0	827.76544	107.47736	0.0	572.8479	6808.524	11.003274	478.94403	1017.9517	1902.8241	5322.762	4298.462	11.722801	53.44618	332.99728	318.01456	5.943266	6.4461603
No	SS265_RG7_01_7613	12.083807	0.0	457.4328	3.9729102	31.949322	2877.9448	519.4559	0.0	2795.527	7496.1143	52.536575	686.39325	2682.0913	156.33911	7682.772	3638.3801	643.0066	617.4829	568.9183	299.70227	4.611614	8.968916
No	SS266_RG8_01_7614	0.0	0.0	348.67737	0.0	70.62306	2616.748	227.9536	0.0	3082.5632	8103.2524	368.1118	735.5829	1991.0278	68.04756	10949.156	3280.5955	934.2176	868.4589	496.93994	373.33734	2.930852	2.5491571
No	SS264_RG6_01_7612	11.260622	0.0	34.834843	8.739092	0.0	807.0965	76.077705	8.647545	859.6424	3668.5222	89.00881	352.85748	1364.1989	0.0	5436.5156	2401.9722	214.20999	146.93231	80.49339	181.8073	3.971273	7.584979
No	SS284_RA5_01_7638	0.0	0.0	0.0	0.0	0.0	299.30176	0.0	0.0	241.75308	1032.4902	11.538363	25.86967	379.60144	84.680176	1498.1975	1132.8468	130.1609	66.80361	54.123043	66.64258	0.0	0.0
No	SS270_RG12_01_7618	25.7965	0.0	78.135735	6.8072653	33.78981	1455.1416	76.74373	3.0267277	1997.013	3725.518	121.51902	275.77408	3263.3435	239.15071	8584.353	2685.256	513.2509	691.7002	287.85474	235.89145	0.0	11.796823
No	SS236_RE2_01_7582	74.127075	0.0	86.86166	24.009493	0.0	3455.9834	326.3667	0.0	4055.4033	15918.393	6.6050057	835.52094	6602.591	1142.2391	26361.53	8471.726	55.806828	207.62321	788.8247	602.8712	11.715873	4.210766
No	SS292_RB1_01_7647	0.0	0.0	0.0	0.0	0.0	41.508556	0.0	0.0	0.0	421.59055	0.0	39.101383	42.08107	0.0	438.2707	509.14066	13.602092	10.887119	12.993467	30.603416	0.0	2.8015027
No	SS252_RF6_01_7599	12.13784	0.0	116.145454	9.134998	0.0	525.8693	68.67605	0.0	619.6363	3165.48	39.935432	276.1688	798.75775	1063.8169	3783.1953	2768.523	92.11061	88.757324	99.38514	135.61392	4.119195	4.2412634
No	SS267_RG9_01_7615	307.6476	0.0	662.0493	14.996799	57.786537	2174.3164	256.8788	0.0	1786.4822	6103.8467	308.21426	446.77005	2573.05	107.836555	7107.734	4218.492	1184.9852	749.28894	286.90927	305.78683	3.9474578	13.6462
No	SS288_RA9_01_7642	9.411621	0.0	45.462406	0.0	0.0	822.6306	55.55332	0.0	907.79614	2272.793	50.97064	95.311455	1339.4908	54.987244	3366.9844	1531.9719	129.14717	118.69066	95.58893	106.26608	3.3965292	9.415716
No	SS278_RH8_01_7627	0.0	0.0	64.25579	0.0	0.0	555.1896	177.33841	0.0	501.38843	2187.1216	62.265438	277.01813	796.84515	145.71582	3572.7847	2863.3645	229.68849	169.90529	125.42401	182.99603	7.1977053	27.118158
No	SS300_RB9_01_7655	0.0	0.0	0.0	0.0	0.0	67.4578	1303.1168	0.0	0.0	407.71454	45.166542	29.765488	214.07025	0.0	1421.2474	1166.8269	114.8813	50.073196	16.884666	62.92044	7.834922	37.93045
No	SS289_RA10_01_7643	0.0	0.0	51.112152	0.0	0.0	475.65555	25.426762	0.0	519.89886	1323.4504	44.899014	44.056698	879.0285	901.9094	2383.8364	1017.8569	69.95531	71.817154	62.24047	65.42893	3.3214667	3.189367
No	SS306_RC3_01_7662	0.0	0.0	194.12604	2.8884993	0.0	513.308	183.24327	0.0	556.10364	2191.7864	34.845047	84.48266	650.6716	418.44617	2295.0947	1097.8698	818.4924	189.83192	103.28969	169.58493	0.0	0.0
No	SS308_RC5_01_7664	0.0	0.0	53.738308	0.0	0.0	390.59592	221.68568	0.0	379.37714	1751.3945	46.587948	69.901344	704.5277	0.0	1901.1388	1353.1427	281.28564	107.09201	32.42138	88.79567	8.880877	13.448954
No	SS291_RA12_01_7645	0.0	0.0	0.0	0.0	0.0	259.09824	0.0	0.0	302.72806	746.44604	39.00658	18.763077	510.1684	1671.0886	1281.0239	672.0316	22.971905	20.683287	10.019298	38.168724	0.0	4.660284
No	SS305_RC2_01_7661	0.0	0.0	148.46507	0.0	0.0	156.00224	143.32701	0.0	288.89383	1042.4603	34.95257	43.80229	472.00977	0.0	2299.3506	1324.6417	161.1104	78.74987	65.568504	101.48466	9.392426	0.0
No	SS273_RH3_01_7622	0.0	0.0	0.0	0.0	0.0	129.89435	0.0	0.0	0.0	492.0637	0.0	25.648499	158.11899	0.0	862.8948	755.4654	2.4899921	9.422639	15.590395	32.695442	0.0	0.0
No	SS315_RC12_01_7671	0.0	0.0	0.0	0.0	0.0	115.289276	125.24455	0.0	187.81969	878.48615	0.0	40.114437	375.96283	79.48134	1745.8356	935.5746	14.48251	32.509266	21.410341	72.115456	2.5127735	6.7346773
No	SS311_RC8_01_7667	0.0	0.0	0.0	0.0	0.0	175.36401	141.36885	0.0	234.25343	1492.1135	2.6522982	72.07809	641.67267	0.0	2253.965	2149.6294	49.856934	49.44787	13.399643	138.4768	11.155354	13.298176
No	SS304_RC1_01_7660	0.0	0.0	0.0	2.7638602	0.0	99.16058	147.06349	0.0	0.0	926.22614	0.0	63.302536	189.5428	101.9159	1084.5078	1038.4215	3.2850409	19.361866	12.61916	56.362427	2.6584067	7.5611897
