tissue	time	Metabolite	Abundance	carbons	unsaturations	hydroxy	SpecMZ	carbons_length	even_odd	RelAbundance
Blood	0	17059_CAR C5:0	260988.62	5	0	0	246.17	short	odd	100.0
Blood	4	17059_CAR C5:0	140644.4	5	0	0	246.17	short	odd	53.88909294206008
Blood	8	17059_CAR C5:0	116288.1	5	0	0	246.17	short	odd	44.556770329679516
Blood	12	17059_CAR C5:0	107886.73	5	0	0	246.17	short	odd	41.33771426508941
Blood	16	17059_CAR C5:0	157949.98	5	0	0	246.17	short	odd	60.51987247566581
Blood	20	17059_CAR C5:0	158045.69	5	0	0	246.17	short	odd	60.556544572709726
Blood	0	25943_CAR C6:0	115638.23	6	0	0	260.186	short	even	100.0
Blood	4	25943_CAR C6:0	46385.07	6	0	0	260.186	short	even	40.112227591169464
Blood	8	25943_CAR C6:0	58393.35	6	0	0	260.186	short	even	50.496578856317676
Blood	12	25943_CAR C6:0	91975.93	6	0	0	260.186	short	even	79.53764944344097
Blood	16	25943_CAR C6:0	45854.957	6	0	0	260.186	short	even	39.6538039366393
Blood	20	25943_CAR C6:0	41484.137	6	0	0	260.186	short	even	35.87406777153196
Blood	0	37259_CAR C9:2	1664.8445	9	2	0	298.201	medium	odd	100.0
Blood	4	37259_CAR C9:2	1446.8347	9	2	0	298.201	medium	odd	86.90509534073604
Blood	8	37259_CAR C9:2	1530.4551	9	2	0	298.201	medium	odd	91.92781067541142
Blood	12	37259_CAR C9:2	0.0	9	2	0	298.201	medium	odd	0.0
Blood	16	37259_CAR C9:2	0.0	9	2	0	298.201	medium	odd	0.0
Blood	20	37259_CAR C9:2	0.0	9	2	0	298.201	medium	odd	0.0
Blood	0	44253_CAR C8:0	12008.576	8	0	0	288.217	medium	even	56.27328987639214
Blood	4	44253_CAR C8:0	9218.606	8	0	0	288.217	medium	even	43.19923425510635
Blood	8	44253_CAR C8:0	16920.355	8	0	0	288.217	medium	even	79.2903373161365
Blood	12	44253_CAR C8:0	21339.744	8	0	0	288.217	medium	even	100.0
Blood	16	44253_CAR C8:0	0.0	8	0	0	288.217	medium	even	0.0
Blood	20	44253_CAR C8:0	0.0	8	0	0	288.217	medium	even	0.0
Blood	0	48635_CAR C10:1	9152.12	10	1	0	314.233	medium	even	100.0
Blood	4	48635_CAR C10:1	7694.692	10	1	0	314.233	medium	even	84.07551474412485
Blood	8	48635_CAR C10:1	7974.3354	10	1	0	314.233	medium	even	87.13101882405387
Blood	12	48635_CAR C10:1	5343.6235	10	1	0	314.233	medium	even	58.386728976455714
Blood	16	48635_CAR C10:1	4300.663	10	1	0	314.233	medium	even	46.99089391310427
Blood	20	48635_CAR C10:1	4908.2266	10	1	0	314.233	medium	even	53.629395156532034
Blood	0	52349_CAR C10:1	0.0	10	1	0	314.233	medium	even	0.0
Blood	4	52349_CAR C10:1	0.0	10	1	0	314.233	medium	even	0.0
Blood	8	52349_CAR C10:1	5383.8457	10	1	0	314.233	medium	even	68.81871539232712
Blood	12	52349_CAR C10:1	7823.229	10	1	0	314.233	medium	even	100.0
Blood	16	52349_CAR C10:1	0.0	10	1	0	314.233	medium	even	0.0
Blood	20	52349_CAR C10:1	0.0	10	1	0	314.233	medium	even	0.0
Blood	0	54630_CAR C14:3;O	247.18333	14	3	1	382.259	long	even	45.29895939147226
Blood	4	54630_CAR C14:3;O	0.0	14	3	1	382.259	long	even	0.0
Blood	8	54630_CAR C14:3;O	101.86905	14	3	1	382.259	long	even	18.668580762294358
Blood	12	54630_CAR C14:3;O	545.6711	14	3	1	382.259	long	even	100.0
Blood	16	54630_CAR C14:3;O	0.0	14	3	1	382.259	long	even	0.0
Blood	20	54630_CAR C14:3;O	0.0	14	3	1	382.259	long	even	0.0
Blood	0	57182_CAR C10:0	11119.652	10	0	0	316.248	medium	even	71.9413861209854
Blood	4	57182_CAR C10:0	8464.537	10	0	0	316.248	medium	even	54.763451648699736
Blood	8	57182_CAR C10:0	10834.43	10	0	0	316.248	medium	even	70.09607063519503
Blood	12	57182_CAR C10:0	15456.544	10	0	0	316.248	medium	even	100.0
Blood	16	57182_CAR C10:0	0.0	10	0	0	316.248	medium	even	0.0
Blood	20	57182_CAR C10:0	0.0	10	0	0	316.248	medium	even	0.0
Blood	0	61171_CAR C16:1;O2	0.0	16	1	2	430.316	long	even	0.0
Blood	4	61171_CAR C16:1;O2	0.0	16	1	2	430.316	long	even	0.0
Blood	8	61171_CAR C16:1;O2	0.0	16	1	2	430.316	long	even	0.0
Blood	12	61171_CAR C16:1;O2	8218.709	16	1	2	430.316	long	even	100.0
Blood	16	61171_CAR C16:1;O2	0.0	16	1	2	430.316	long	even	0.0
Blood	20	61171_CAR C16:1;O2	0.0	16	1	2	430.316	long	even	0.0
Blood	0	61495_CAR C14:2	3747.0403	14	2	0	368.28	long	even	91.9090626634744
Blood	4	61495_CAR C14:2	0.0	14	2	0	368.28	long	even	0.0
Blood	8	61495_CAR C14:2	3980.3672	14	2	0	368.28	long	even	97.63220812128392
Blood	12	61495_CAR C14:2	4076.8997	14	2	0	368.28	long	even	100.0
Blood	16	61495_CAR C14:2	0.0	14	2	0	368.28	long	even	0.0
Blood	20	61495_CAR C14:2	0.0	14	2	0	368.28	long	even	0.0
Blood	0	63804_CAR C12:0	29904.867	12	0	0	344.28	medium	even	64.7853106426675
