usi,Study,qry_mz,ref_id,score,peak,usage,ref_mz,name,prec_type,inchikey,ion_mode,instrument_type,db,smiles,inchi,formula,monoisotopic_mass,npclassifier_superclass_results,npclassifier_class_results,npclassifier_pathway_results,npclassifier_isglycoside,classyfire_superclass,classyfire_class,classyfire_subclass,conjugate_mass,carnitine_conjugate_match
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016460085,plusrise,310.176,CCMSLIB00010110969,0.89247745,5,0.17852381,149.0597047,3-(2-Hydroxyphenyl)propionic acid CollisionEnergy:102040,[M+H-H2O]+,CJBDUOMQLFKVQC-UHFFFAOYSA-N,p,LC-ESI-Orbitrap,gnps,O=C(O)CCc1ccccc1O,"InChI=1S/C9H10O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-4,10H,5-6H2,(H,11,12)",C9H10O3,166.0629942,,,Shikimates and Phenylpropanoids,FALSE,Phenylpropanoids and polyketides,Phenylpropanoic acids,,161.1162948,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016460085,plusrise,310.176,CCMSLIB00010122304,0.833625,5,0.17852381,149.0597047,3-(2-Hydroxyphenyl)propionic acid CollisionEnergy:205060,[M+H-H2O]+,CJBDUOMQLFKVQC-UHFFFAOYSA-N,p,LC-ESI-Orbitrap,gnps,O=C(O)CCc1ccccc1O,"InChI=1S/C9H10O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-4,10H,5-6H2,(H,11,12)",C9H10O3,166.0629942,,,Shikimates and Phenylpropanoids,FALSE,Phenylpropanoids and polyketides,Phenylpropanoic acids,,161.1162948,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016460085,plusrise,310.176,CCMSLIB00003137556,0.8442433,3,0.16100591,167.0702706,Spectral Match to Tropic acid from NIST14,[M+H]+,JACRWUWPXAESPB-UHFFFAOYSA-N,p,ESI-qTof,gnps,O=C(O)C(CO)c1ccccc1,"InChI=1S/C9H10O3/c10-6-8(9(11)12)7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)",C9H10O3,166.0629942,,,Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,161.1162948,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016460085,plusrise,310.176,CCMSLIB00005739235,0.76698244,3,0.15527657,167.0702706,Massbank:PR303539 Paeonol,[M+H]+,UILPJVPSNHJFIK-UHFFFAOYSA-N,p,ESI-qTof,gnps,COc1cc(O)c(C(C)=O)cc1,"InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3",C9H10O3,166.0629942,,,Shikimates and Phenylpropanoids,FALSE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,161.1162948,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016460085,plusrise,310.176,CCMSLIB00005747483,0.7946218,3,0.15527657,167.0702706,Massbank:PR303531 Paeonol,[M+H]+,UILPJVPSNHJFIK-UHFFFAOYSA-N,p,ESI-qTof,gnps,COc1cc(O)c(C(C)=O)cc1,"InChI=1S/C9H10O3/c1-6(10)8-4-3-7(12-2)5-9(8)11/h3-5,11H,1-2H3",C9H10O3,166.0629942,,,Shikimates and Phenylpropanoids,FALSE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,161.1162948,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123614,0.8846175,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123616,0.8757344,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123617,0.90036964,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123619,0.86674345,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123621,0.8736536,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123623,0.83223647,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123624,0.83419365,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123626,0.8202328,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016462156,plusRise,325.173,CCMSLIB00006123628,0.83993477,3,0.13991992,182.0811697,YP2278000 - 40.0 eV,[M+H]+,JZKXXXDKRQWDET-UHFFFAOYSA-N,p,ESI-Orbitrap,gnps,NC(Cc1cc(O)ccc1)C(=O)O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)",C9H11NO3,181.0738932,Small peptides,Aminoacids,Amino acids and Peptides;Shikimates and Phenylpropanoids,FALSE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",161.1023958,TRUE
